source,relationship,target,weight,result,cmd,runtime,status
T_5145,runtime_stat,CPU_1,1,,,59431,
T_5145,switched_out,CPU_1,1,,,,
CPU_2,switched_in,T_5145,1,,,,
T_5145,close_fd,File_FD_5,17,,,,
T_5145,close_exit,T_5145,275,0,,,
T_5145,runtime_stat,CPU_2,4,,,231580,
T_5136,process_freed,CPU_3,1,,,,terminated
T_5137,process_freed,CPU_3,1,,,,terminated
T_5139,process_freed,CPU_3,1,,,,terminated
T_5135,process_freed,CPU_1,1,,,,terminated
T_5138,process_freed,CPU_1,1,,,,terminated
T_5145,ioctl,File_1,2,,21523,,
T_5145,ioctl_exit,T_5145,4,-25,,,
T_5145,ioctl,File_2,1,,21523,,
T_5145,ioctl,File_0,1,,21523,,
T_5145,close_fd,File_FD_6,3,,,,
T_5145,close_fd,File_FD_8,252,,,,
T_5145,close_fd,File_FD_7,1,,,,
T_5145,scheduled_to_wake_on,CPU_2,1,,,,
T_5145,wake_up,CPU_3,1,,,,
T_5145,close_fd,File_FD_1,1,,,,
T_5145,close_fd,File_FD_2,1,,,,
T_5145,scheduled_to_wake_on,CPU_0,1,,,,
T_5145,wake_up,CPU_0,1,,,,
T_5145,switched_out,CPU_2,1,,,,
T_5144,close_fd,File_FD_10,1,,,,
CPU_0,switched_in,T_5146,1,,,,
P_5146,contains,T_5146,1,,,,
T_5146,scheduled_to_wake_on,CPU_0,1,,,,
T_5146,wake_up,CPU_0,1,,,,
T_5146,runtime_stat,CPU_0,1,,,50670,
T_5146,switched_out,CPU_0,1,,,,
CPU_1,switched_in,T_5146,1,,,,
T_5146,close_fd,File_FD_5,2,,,,
T_5146,close_exit,T_5146,3,0,,,
T_5146,close_fd,File_FD_2,1,,,,
T_5146,runtime_stat,CPU_1,2,,,460540,
T_5146,switched_out,CPU_1,1,,,,
CPU_3,switched_in,T_5147,1,,,,
P_5147,contains,T_5147,1,,,,
T_5147,scheduled_to_wake_on,CPU_3,1,,,,
T_5147,wake_up,CPU_3,1,,,,
T_5147,runtime_stat,CPU_3,1,,,45820,
T_5147,switched_out,CPU_3,1,,,,
CPU_0,switched_in,T_5147,1,,,,
T_5147,close_fd,File_FD_5,17,,,,
T_5147,close_exit,T_5147,19,0,,,
T_5147,runtime_stat,CPU_0,2,,,185619,
T_5147,ioctl,File_1,2,,21523,,
T_5147,ioctl_exit,T_5147,4,-25,,,
T_5147,ioctl,File_2,1,,21523,,
T_5147,ioctl,File_0,1,,21523,,
T_5147,close_fd,File_FD_6,2,,,,
